MMM
AOS
ABT
ABBV
ABMD
ACN
ATVI
ADM
ADBE
ADP
AAP
A
APD
AKAM
ALK
ALB
ARE
ALGN
ALLE
GOOGL
GOOG
MO
AMZN
AMCR
AMD
AAL
AMT
ABC
AME
AMGN
APH
ADI
ANSS
APA
AAPL
AMAT
APTV
ANET
T
ADSK
AZO
AVB
AVY
BKR
BALL
BBWI
BAX
BDX
BBY
BIO
TECH
BIIB
BA
BKNG
BWA
BXP
BSX
BMY
AVGO
BR
CHRW
CDNS
CZR
CPT
CPB
CAH
KMX
CCL
CARR
CTLT
CAT
CBRE
CDW
CE
CNC
CDAY
CF
CRL
CHTR
CVX
CMG
CHD
CI
CTAS
CSCO
CTXS
CLX
KO
CTSH
CL
CMCSA
CAG
COP
STZ
COO
CPRT
GLW
CTVA
COST
CTRA
CCI
CSX
CMI
CVS
DHI
DHR
DRI
DVA
DE
DAL
XRAY
DVN
DXCM
FANG
DLR
DISH
DIS
DG
DLTR
DPZ
DOV
DOW
DRE
DD
DXC
EMN
ETN
EBAY
ECL
EW
EA
ELV
LLY
EMR
ENPH
EOG
EPAM
EFX
EQIX
EQR
ESS
EL
ETSY
EXPE
EXPD
EXR
XOM
FFIV
FAST
FRT
FDX
FIS
FISV
FLT
FMC
F
FTNT
FTV
FBHS
FOXA
FOX
FCX
GRMN
IT
GNRC
GD
GE
GIS
GM
GPC
GILD
GPN
HAL
HAS
HCA
PEAK
HSIC
HSY
HES
HPE
HLT
HOLX
HD
HON
HRL
HST
HWM
HPQ
HUM
HII
IBM
IEX
IDXX
ITW
ILMN
INCY
IR
INTC
IP
UHS
VLO
VTR
VRSN
VRSK
VZ
VRTX
VFC
VTRS
VICI
V
VNO
VMC
WAB
WBA
WMT
WBD
WM
WAT
WELL
WST
WDC
WRK
WY
WHR
WMB
GWW
WYNN
XYL
YUM
ZBRA
ZBH
ZTS
IPG
IFF
INTU
ISRG
IQV
IRM
JBHT
JKHY
J
JNJ
JCI
JNPR
K
KDP
KEYS
KMB
KIM
KMI
KLAC
KHC
KR
LHX
LH
LRCX
LW
LVS
LDOS
LEN
LIN
LYV
LKQ
LMT
LOW
LUMN
LYB
MRO
MPC
MAR
MLM
MAS
MA
MTCH
MKC
MCD
MCK
MDT
MRK
META
MTD
MGM
MCHP
MU
MSFT
MAA
MRNA
MHK
MOH
TAP
MDLZ
MPWR
MNST
MOS
MSI
NTAP
NFLX
NWL
NEM
NWSA
NWS
NLSN
NKE
NDSN
NSC
NOC
NLOK
NCLH
NUE
NVDA
NVR
NXPI
ORLY
OXY
ODFL
OMC
ON
OKE
ORCL
OGN
OTIS
PCAR
PKG
PARA
PH
PAYX
PAYC
PYPL
PENN
PNR
PEP
PKI
PFE
PM
PSX
PXD
POOL
PPG
PG
PLD
PTC
PSA
PHM
PVH
QRVO
PWR
QCOM
DGX
RL
RTX
O
REG
REGN
RSG
RMD
RHI
ROK
ROL
ROP
ROST
RCL
CRM
SBAC
SLB
STX
SEE
NOW
SHW
SPG
SWKS
SJM
SNA
SEDG
LUV
SWK
SBUX
STE
SYK
SNPS
SYY
TMUS
TTWO
TPR
TGT
TEL
TDY
TFX
TER
TSLA
TXN
TXT
TMO
TJX
TSCO
TT
TDG
TRMB
TWTR
TYL
TSN
UDR
ULTA
UNP
UAL
UPS
URI
UNH
